YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023   7   6    0.9830    -3.684    30.376
2023   7   7    0.9830    -3.689    30.418
2023   7   8    0.9830    -3.693    30.460
2023   7   9    0.9830    -3.698    30.503
2023   7  10    0.9830    -3.702    30.545
2023   7  11    0.9830    -3.707    30.587
2023   7  12    0.9830    -3.712    30.630
2023   7  13    0.9830    -3.716    30.672
2023   7  14    0.9830    -3.721    30.714
2023   7  15    0.9830    -3.725    30.756
2023   7  16    0.9830    -3.730    30.799
2023   7  17    0.9830    -3.735    30.841
2023   7  18    0.9830    -3.739    30.883
2023   7  19    0.9830    -3.744    30.926
2023   7  20    0.9830    -3.748    30.968
2023   7  21    0.9830    -3.753    31.010
2023   7  22    0.9830    -3.758    31.053
2023   7  23    0.9830    -3.762    31.095
2023   8   0    0.9830    -3.767    31.137
2023   8   1    0.9830    -3.771    31.179
2023   8   2    0.9830    -3.776    31.222
2023   8   3    0.9830    -3.780    31.264
2023   8   4    0.9830    -3.785    31.306
2023   8   5    0.9830    -3.790    31.349
2023   8   6    0.9830    -3.794    31.391
2023   8   7    0.9830    -3.799    31.433
2023   8   8    0.9830    -3.803    31.476
2023   8   9    0.9830    -3.808    31.518
2023   8  10    0.9830    -3.812    31.560
2023   8  11    0.9830    -3.817    31.602
2023   8  12    0.9830    -3.822    31.645
2023   8  13    0.9830    -3.826    31.687
2023   8  14    0.9831    -3.831    31.729
2023   8  15    0.9831    -3.835    31.772
2023   8  16    0.9831    -3.840    31.814
2023   8  17    0.9831    -3.844    31.856
2023   8  18    0.9831    -3.849    31.899
2023   8  19    0.9831    -3.853    31.941
2023   8  20    0.9831    -3.858    31.983
2023   8  21    0.9831    -3.862    32.026
2023   8  22    0.9831    -3.867    32.068
2023   8  23    0.9831    -3.871    32.110
2023   9   0    0.9831    -3.876    32.152
2023   9   1    0.9831    -3.881    32.195
2023   9   2    0.9831    -3.885    32.237
2023   9   3    0.9831    -3.890    32.279
2023   9   4    0.9831    -3.894    32.322
2023   9   5    0.9831    -3.899    32.364
2023   9   6    0.9831    -3.903    32.406
2023   9   7    0.9831    -3.908    32.449
2023   9   8    0.9831    -3.912    32.491
2023   9   9    0.9831    -3.917    32.533
2023   9  10    0.9831    -3.921    32.576
2023   9  11    0.9831    -3.926    32.618
2023   9  12    0.9831    -3.930    32.660
2023   9  13    0.9831    -3.935    32.703
2023   9  14    0.9831    -3.939    32.745
2023   9  15    0.9831    -3.944    32.787
2023   9  16    0.9831    -3.948    32.830
2023   9  17    0.9831    -3.953    32.872
2023   9  18    0.9831    -3.957    32.914
2023   9  19    0.9831    -3.962    32.956
2023   9  20    0.9831    -3.966    32.999
2023   9  21    0.9831    -3.971    33.041
2023   9  22    0.9831    -3.975    33.083
2023   9  23    0.9831    -3.980    33.126
2023  10   0    0.9831    -3.984    33.168
2023  10   1    0.9831    -3.988    33.210
2023  10   2    0.9831    -3.993    33.253
2023  10   3    0.9831    -3.997    33.295
2023  10   4    0.9831    -4.002    33.337
2023  10   5    0.9831    -4.006    33.380
2023  10   6    0.9831    -4.011    33.422
